GSTIN,Transaction_Amount,Tax_Amount,ITC_Claimed,Transaction_Frequency,Filing_Delay,Invoice_Mismatch,Return_Filing_Status,Business_Type,Previous_Fraud_History,Fraud_Label
1001,375446,67580.28,51979.65,18,1,No,Delayed,Service,No,0
1002,280040,50407.2,90684.54,38,8,Yes,Delayed,Wholesaler,Yes,1
1003,453242,81583.56,60289.33,8,1,No,Delayed,Wholesaler,No,0
1004,396446,71360.28,50388.25,28,2,Yes,Delayed,Manufacturer,No,0
1005,75428,13577.04,9702.59,16,0,No,On_Time,Manufacturer,No,0
1006,259430,46697.4,35278.36,28,0,No,On_Time,Retailer,No,0
1007,315035,56706.3,45243.79,13,0,No,On_Time,Service,No,0
1008,418568,75342.24,140555.05,62,5,No,Delayed,Wholesaler,Yes,1
1009,164553,29619.54,25233.27,11,0,No,On_Time,Service,No,0
1010,341328,61439.04,50381.03,9,1,No,Delayed,Wholesaler,No,0
1011,75633,13613.94,12815.57,23,4,No,Delayed,Wholesaler,No,0
1012,231095,41597.1,49947.4,39,7,Yes,Delayed,Manufacturer,Yes,1
1013,249647,44936.46,59889.46,49,14,Yes,Delayed,Service,Yes,1
1014,15774,2839.32,2150.41,25,3,No,Delayed,Wholesaler,No,0
1015,16823,3028.14,2954.85,21,1,No,Delayed,Retailer,No,0
1016,363323,65398.14,55643.12,24,2,No,Delayed,Service,No,0
1017,192650,34677.0,27967.61,23,4,Yes,Delayed,Retailer,No,0
1018,190231,34241.58,26722.08,13,3,No,Delayed,Wholesaler,No,0
1019,424254,76365.72,57643.55,18,1,No,Delayed,Retailer,No,0
1020,90257,16246.26,12813.32,7,4,No,Delayed,Service,No,0
1021,409845,73772.1,54547.03,5,4,No,Delayed,Service,No,0
1022,77843,14011.74,12941.33,18,2,No,Delayed,Retailer,No,0
1023,382598,68867.64,66856.39,17,4,No,Delayed,Wholesaler,No,0
1024,43691,7864.38,7447.09,27,2,No,Delayed,Service,No,0
1025,364195,65555.1,62229.64,9,2,No,Delayed,Service,No,0
1026,105665,19019.7,22817.43,40,6,Yes,Delayed,Service,Yes,1
1027,222695,40085.1,33606.53,7,3,No,Delayed,Retailer,No,0
1028,130987,23577.66,21957.26,5,4,No,Delayed,Retailer,No,0
1029,154302,27774.36,20929.45,15,0,No,On_Time,Manufacturer,No,0
1030,82516,14852.88,13749.83,19,2,No,Delayed,Retailer,No,0
1031,97969,17634.42,13949.34,12,3,No,Delayed,Service,No,0
1032,38795,6983.1,6827.29,27,2,No,Delayed,Service,No,0
1033,122782,22100.76,16786.42,7,0,No,On_Time,Wholesaler,No,0
